price;rating;rating_DEC-100;rating_GP;rating_GR;rating_JR;rating_JS;rating_LM;rating_RP;rating_TA;rating_VIN;rating_Vivino;rating_W&S;rating_WE;rating_WS;region_1;region_2;region_3;title;volume
788;7.1;;;;;;;;;91;3.6;;;;Испания;Ла Манча;;"Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2015";0.75
971;;;;;;92;;;;;;;;;Испания;Кастилия Ла Манча;;"Familia Bastida, ""Cimal"" Garnacha, La Mancha DO, 2016";0.75
1047;;;91;;;;;;;;3.8;;90;;Испания;Кастилья и Леон;;"Marques de Montejos, ""Seleccion"" Mencia, 2015";0.75
1345;;;;;;;;;;;4.1;;;;Италия;Абруццо;;"Cantina Frentana, ""60 Anni"" Montepulciano d'Abruzzo DOC Riserva, 2015";0.75
1144;;;;;;;;91;;;3.8;;;;Франция;Лангедок-Руссийон;Кот дю Руссийон;"""Roc Gris"" Cotes du Roussillon Villages Tautavel AOC, 2015";0.75
784;9.0;;;;;;;;;;3.7;;;;Италия;Апулия;;"Teanum, ""Favugne"" Rosso, San Severo DOP, 2017";0.75
964;8.0;87;;;;;;;;;3.7;;;;Италия;Тоскана;Кьянти Классико;"San Michele a Torri, ""Tenuta La Gabbiola"" Chianti Classico DOCG, 2016";0.75
1533;8.0;88;;;;90;;92;;;4;;;;Франция;Бордо;Грав;Chateau Brondelle, Graves AOC, 2015;0.75
1006;;;;;;;;;;;3.8;;;;Италия;Абруццо;;"Cantina Frentana, ""Costa del Mulino"" Pecorino, Abruzzo DOC, 2018";0.75
892;7.9;;;;;;;;;;;;86;88;Франция;Бордо;Кот де Блай;"""Chateau Les Jouberts"" Cuvee Prestige, Blaye Cotes de Bordeaux AOC, 2014";0.75
995;;;;;;;;;;;3.8;;;83;Франция;Прованс;;"""Lavendette"" Rose, Alpes de Haute Provence IGP, 2018";0.75
981;;;;;;;;;;;3.9;;;;Испания;Мурсия;Хумилья;"""Chopo"" Monastrell Rose, Jumilla DOP, 2018";0.75
1167;;;;;;;;;;;4;;;;Италия;Апулия;Пулья;"Cantina Diomede, ""Orea"" Primitivo, Puglia IGP, 2017";0.75
1240;8.5;;89;;;90;;;90;91;3.8;;87;88;Испания;Риоха;;Ramirez de la Piscina, Crianza, Rioja DOCa, 2015;0.75
853;7.7;;;;;;;90;;;;;;;Испания;Валенсия;;Rafael Cambra, Soplo, Valencia DO, 2014;0.75
936;;;;;;;;;;;3.7;;;;Италия;Апулия;Пулья;"Cantina Diomede, ""Folia"" Rosato Negroamaro, Puglia IGP, 2018";0.75
792;;;;;;;;;;;3.8;;;;Италия;Апулия;Пулья;"Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2018";0.75
1730;7.7;;;2;;90;89;;;;3.9;;87;90;Италия;Тоскана;Кьянти Колли Сенези;"Tenuta di Trecciano, ""Terra Rossa"" Chianti Colli Senesi Riserva DOCG, 2015";0.75
1919;10.0;;;;;;;90;;;4.1;;;;Испания;Риоха;;"""Victoria Diez-Caballero"" Reserva, Rioja DOCa, 2010";0.75
1228;;;;;;91;;;;;3.8;;;;Испания;Мурсия;Хумилья;"Familia Bastida, ""Finca el Lince"" Red Blend, Jumilla DO, 2016";0.75
761;9.0;;;;;;;;;;3.8;;;;Испания;Мурсия;Хумилья;"Alceno, ""Rio Lilo"" Sauvignon Blanc-Airen, Jumilla DOP, 2018";0.75
1991;8.3;;;;;;;91;;;3.8;;91;87;Франция;Бордо;О'Медок;Chateau du Taillan, Haut-Medoc AOC, 2014;0.75
1750;10.0;;89;;;;;;92;;4;;;;Испания;Риоха;;Ramirez de la Piscina, Reserva, Rioja DOCa, 2014;0.75
902;8.1;;;;;;;;;;3.9;;;;Новая Зеландия;Мальборо;;Brancott Estate, Marlborough Sauvignon Blanc;0.75
835;7.7;;;;;;;;;;3.8;;;;Грузия;Кахетия;;Askaneli Brothers, Rkatsiteli Qvevri;0.75
780;8.1;;;;;;;;;;3.6;;;;Португалия;Винью Верде;;"""Toucas"", Vinho Verde DOC, 2018";0.75
675;8.2;;;;;;;;;;3.9;;;;Италия;Апулия;Пулья;"Femar Vini, ""Montecore"" Primitivo, Puglia IGP";0.75
678;7.8;;;;;;;;;;3.6;;;;Испания;Риоха;;"""Campo Viejо"" Tempranillo, Rioja DOC";0.75
773;8.0;;;;;;;;;;3.9;;;;США;Калифорния;;"""770 Miles"" Zinfandel";0.75
